barcode,name,price
8901058014235,Maggi 2-Minute Noodles 70g,14.00
8901491101844,Lays Classic Salted 50g,20.00
8901030932359,Surf Excel Matic Top Load 1kg,215.00
8901314010555,Dettol Original Soap 125g,40.00
8901063013834,Britannia Good Day Cashew,30.00
8901262010045,Amul Taaza Toned Milk 1L,68.00
8901030501173,Kissan Mixed Fruit Jam 500g,170.00
8901138012649,Everest Garam Masala 100g,82.00
8901764012273,Tata Salt 1kg,28.00
8901058864700,Nescafe Classic Coffee 50g,160.00
8901030700019,Brooke Bond Red Label Tea 250g,140.00
8901719114755,Parle-G Biscuits 130g,10.00
8901012111161,Cadbury Dairy Milk Chocolate 50g,40.00
8901023000676,Godrej Cinthol Soap 100g,35.00
8901030113000,Clinic Plus Shampoo 340ml,180.00
8901579998188,Haldiram's Bhujia Sev 200g,55.00
8901043004051,Aashirvaad Atta 5kg,225.00
8901088011235,Thums Up 750ml,40.00
8901248104010,Kurkure Masala Munch 90g,20.00
8901148101416,Oreo Original Biscuit 120g,30.00
8901030012345,Pears Pure & Gentle Soap 125g,50.00
8901030045678,Sunsilk Stunning Black Shine Shampoo 180ml,150.00
8901138012656,Everest Turmeric Powder 100g,40.00
8901138012663,Everest Coriander Powder 100g,45.00
8901043004068,Aashirvaad Multigrain Atta 5kg,280.00
8901063013841,Britannia Marie Gold 250g,35.00
8901058864717,Nestle Everyday Dairy Whitener 400g,220.00
8901058014242,Maggi Hot & Sweet Tomato Chilli Sauce 500g,120.00
8901491101851,Lays American Style Cream and Onion 50g,20.00
8901088011242,Sprite 750ml,40.00
8901088011259,Coca Cola 750ml,40.00
8901248104027,Kurkure Solid Masti 90g,20.00
8901764012280,Tata Sampann Toor Dal 1kg,180.00
8901012111178,Cadbury 5 Star Chocolate 40g,20.00
8901012111185,Cadbury Gems 15g,10.00
8901719114762,Parle Monaco Biscuits 150g,25.00
8901719114779,Parle Krackjack Biscuits 200g,30.00
8901030932366,Vim Dishwash Liquid 500ml,105.00
8901030932373,Domex Toilet Cleaner 500ml,85.00
8901030932380,Comfort Fabric Conditioner 220ml,60.00
8901314010562,Harpic Power Plus 500ml,90.00
8901314010579,Lizol Floor Cleaner 500ml,100.00
8901262010052,Amul Butter 100g,55.00
8901262010069,Amul Cheese Slices 200g,135.00
8901030700026,Taj Mahal Tea 250g,170.00
8901023000683,Godrej No.1 Sandal & Turmeric Soap 100g,30.00
8901579998195,Haldiram's Moong Dal 200g,50.00
8901579998201,Haldiram's Aloo Bhujia 200g,55.00
8901030501180,Kissan Fresh Tomato Ketchup 500g,120.00
8901148101423,Bournvita Health Drink 500g,240.00
